"Model","RMSE_Calib","NSE_Calib","MI_Calib","RMSE_Valid","NSE_Valid","MI_Valid","Site"
"all_ws_attr",0.633263611621897,0.930090078732236,0.530786135648049,1.51147884293753,0.572964734000742,0.413571625478048,"05418400"
"all_ws_bfs",1.30699233836394,0.702206077957697,0.344571065818818,2.02978588448232,0.229877072488804,0.33000932883503,"05418400"
"all_ws_bfs_attr",0.563620270228553,0.944621274856587,0.55922161909114,1.24481213996427,0.71035420544945,0.389285166737712,"05418400"
"local",0.67452303625247,0.920683540770569,0.514663112982631,2.10045789438802,0.175316021730314,0.425121210780065,"05418400"
"local_bfs",0.672679875129472,0.921116419314654,0.526329137271106,1.75576377396139,0.423775439521742,0.447309784330562,"05418400"
"all_ws",0.952060982316922,0.394568976356824,0.169044725543618,0.53083707449589,0.0865029239945626,0.151252835848445,"05446500"
"all_ws_attr",0.474665420263986,0.849509070170972,0.427132633488038,1.35950118014181,-4.99161425400429,0.207137626849994,"05446500"
"all_ws_bfs",0.776110383975418,0.597670270334652,0.236652218300167,0.62029421874168,-0.247326457438368,0.144292702358021,"05446500"
"all_ws_bfs_attr",0.687113577164457,0.684650463146252,0.2725621379394,1.26891153470756,-4.21972181529946,0.133051527260341,"05446500"
"local",0.736620853949225,0.63757081990498,0.271852358776512,1.17131057425384,-3.44763147947411,0.187901621856987,"05446500"
"local_bfs",0.537776552755986,0.806830363311598,0.351528001023549,1.01057169481583,-2.31069312688906,0.0926107960003502,"05446500"
"all_ws",0.983153523488936,0.786256257990831,0.366256944491471,1.0352415115227,0.264907309194525,0.315141325048248,"05447500"
"all_ws_attr",0.677886115713073,0.898383506141096,0.520461099056886,1.7396972850398,-1.07589852125047,0.380786962618642,"05447500"
"all_ws_bfs",0.957051196546641,0.797455213264333,0.376190140370153,1.10560314034576,0.161588406053753,0.278749175751836,"05447500"
"all_ws_bfs_attr",0.542960532896962,0.934809058514551,0.555960514485642,1.57309654555666,-0.697342566954605,0.327999869246018,"05447500"
"local",0.715142779689982,0.886906864573965,0.470063342421202,1.51789027716474,-0.580299877078773,0.324931556003846,"05447500"
"local_bfs",0.57342311031019,0.927288833439714,0.529020659644698,1.73009337724024,-1.05304200671654,0.301195616703587,"05447500"
"all_ws",1.72654913119286,0.80465309222532,0.441106312530629,1.25375581566093,0.735584293995772,0.434897742648695,"05455100"
"all_ws_attr",0.971521042325287,0.938148094821415,0.606092117871327,2.05643029206843,0.288640210901139,0.435801113810412,"05455100"
"all_ws_bfs",1.42175925846486,0.867535108363885,0.441144491208383,1.70552223900313,0.510699003145704,0.428201870326808,"05455100"
"all_ws_bfs_attr",0.788072724966342,0.95930123298608,0.562091625134685,1.98669017007057,0.336071039415925,0.327893685576432,"05455100"
"local",1.07430153394959,0.924368789732279,0.522280200874301,2.62605370452198,-0.160028165431168,0.30059761828559,"05455100"
"local_bfs",0.916137830512126,0.944999037127502,0.543473558759123,2.18458109458598,0.197217920849056,0.463007830117096,"05455100"
"all_ws",1.79733378257416,0.352290684805291,0.180679000691562,1.77158787755113,0.0936770835877992,0.311243803234359,"05457000"
"all_ws_attr",0.936987290965888,0.823968630048185,0.424849521291602,1.31695318185861,0.499160892025732,0.367775898286847,"05457000"
"all_ws_bfs",1.46275506131393,0.570991509590765,0.281453478080655,1.50383966348151,0.346928650234147,0.278761613904958,"05457000"
"all_ws_bfs_attr",0.88908055110342,0.841508896810073,0.437360698440848,1.53433546860154,0.320173310505494,0.354859084904353,"05457000"
"local",0.98332770017256,0.806126158821337,0.385039090189241,1.37342383104679,0.455288280605805,0.408331674082079,"05457000"
"local_bfs",0.874271098222284,0.846744908541819,0.422200896757657,1.38456257235541,0.44641701054832,0.378116204291742,"05457000"
"all_ws",1.44288001875985,0.750943435510859,0.294322147774033,1.3464994039067,0.602732909426426,0.309995261561942,"05465500"
"all_ws_attr",0.91372841163545,0.900121545656565,0.446591895561624,2.28566108401527,-0.144705914653807,0.400259128940217,"05465500"
"all_ws_bfs",1.33225582847091,0.787669289802294,0.338643671236513,1.75566402806993,0.324612403291446,0.2674978563587,"05465500"
"all_ws_bfs_attr",0.856811420582175,0.912177044590801,0.472629787614044,2.00098622922709,0.122679134319419,0.374795387859404,"05465500"
"local",1.0413740157073,0.870266830468547,0.414546967661255,2.03604112512097,0.0916706432886896,0.383927788731447,"05465500"
"local_bfs",0.876529735031888,0.908088286736041,0.459239251663205,2.25809207813391,-0.117258205994752,0.333743760594147,"05465500"
"all_ws",3.25627650658689,0.816213694239555,0.391737288737503,3.31474322017292,0.581187867645528,0.480679876666417,"05481000"
"all_ws_attr",1.83270878361906,0.941781968191641,0.529323790508373,5.31081021327548,-0.0750806262255979,0.465977509272945,"05481000"
"all_ws_bfs",3.05230832377396,0.83851678082786,0.443263187946855,2.65472138799116,0.731368232504751,0.475743506487144,"05481000"
"all_ws_bfs_attr",1.73320736478203,0.947931909861886,0.543074372782058,3.86059894679798,0.431894691063839,0.512344024351276,"05481000"
"local",2.31576077631145,0.907048161558737,0.467644417157922,5.41636554927748,-0.118240986484948,0.489015205099955,"05481000"
"local_bfs",2.20002776950756,0.916106768809249,0.483608375848321,5.98752672521253,-0.36651499560696,0.457721435598326,"05481000"
"all_ws",2.20844366867826,0.710153253241032,0.288662721341496,2.7310746134837,0.0564433722460748,0.310618264173656,"05482000"
"all_ws_attr",1.11914764822801,0.925566138350043,0.51863363773936,3.19732174468541,-0.293223302399485,0.346313856316354,"05482000"
"all_ws_bfs",1.86903313859966,0.792398837387101,0.357135633066324,3.44177803438293,-0.498533844876226,0.190155335920956,"05482000"
"all_ws_bfs_attr",0.942727874900873,0.947183639008202,0.572433987890188,3.02494773541855,-0.157541551895981,0.344124286899255,"05482000"
"local",1.44444148142821,0.876007424205066,0.460189308916075,3.63588474203058,-0.672326432124436,0.428877223814375,"05482000"
"local_bfs",2.3756436447633,0.664603621503144,0.323891595458602,3.79027550149492,-0.817365987184167,0.384345801201974,"05482000"
"all_ws",2.88552750919379,0.68906144651027,0.269632332737478,3.04220148312049,-0.471374091951566,0.204880032072908,"05482300"
"all_ws_attr",1.43583076450472,0.923010651482489,0.517287844979275,4.44475023166434,-2.14081155287627,0.215261704836769,"05482300"
"all_ws_bfs",2.30334979697814,0.801872878654504,0.34765052402755,2.61361289252049,-0.0859996487624146,0.210152465886041,"05482300"
"all_ws_bfs_attr",1.3140369573571,0.935517881743384,0.551185313821205,3.62959693860732,-1.09442087172706,0.236755304385307,"05482300"
"local",2.07476220100018,0.839246369376535,0.41365040298345,4.91131661194454,-2.83480267450828,0.219878655984914,"05482300"
"local_bfs",1.89534037369174,0.865847563894264,0.43563141348681,4.77057668496133,-2.61816959637494,0.226668045354145,"05482300"
"all_ws",2.97077830601219,0.783581678164113,0.35312762663702,3.45095808616506,0.0291518057303564,0.308147178626573,"05482500"
"all_ws_attr",1.61883289509913,0.935737505607873,0.541996866149968,5.54186001353119,-1.5037044474649,0.410790476693757,"05482500"
