"Site","RMSE_Calib","RMSE_Valid","NSE_Calib","NSE_Valid","MI_Calib","MI_Valid","multi_watershed"
"04072150",0.391895821001491,0.781349824249918,0.935770456388658,0.506676991285352,0.575789533967482,0.418217548643327,"multi-watershed attr"
"04081000",0.169560590964924,0.184196638862406,0.912102075295143,0.850641542464852,0.513758748882294,0.494430751847555,"multi-watershed attr"
"05412500",0.874619980441523,2.87667830864535,0.902171158618127,-2.16499014394942,0.501308146040836,0.259890172491483,"multi-watershed attr"
"05418400",0.633263627302887,1.5114788486062,0.93009007654036,0.572964751833207,0.541758753199155,0.490274065664455,"multi-watershed attr"
"05446500",0.474665414774821,1.35950118608272,0.849509070341216,-4.99161375969148,0.465519804240243,0.270121920864283,"multi-watershed attr"
"05447500",0.677886110409234,1.73969730605357,0.898383508364277,-1.07589856106434,0.56689726923202,0.484445414943262,"multi-watershed attr"
"05455100",0.971521013809107,2.05643032407991,0.938148095023941,0.288640206431817,0.647859388301932,0.436233520092717,"multi-watershed attr"
"05457000",0.93698725984028,1.31695314361071,0.823968638736358,0.499160918014807,0.424849521291604,0.411882730838042,"multi-watershed attr"
"05465500",0.913728408401822,2.28566106453311,0.900121545826209,-0.144705891327099,0.595061243879582,0.423436906697326,"multi-watershed attr"
"05481000",1.8327087581117,5.31080995492395,0.941781968063092,-0.0750806560629862,0.56048895785908,0.548901335922605,"multi-watershed attr"
"05482000",1.1191477084643,3.19732170079109,0.925566139348692,-0.29322328928998,0.529636976634845,0.367044858354377,"multi-watershed attr"
"05482300",1.43583076420733,4.44475016866974,0.923010651201991,-2.14081153038164,0.517287844979274,0.239375636934981,"multi-watershed attr"
"05482500",1.61883291672838,5.54185994129107,0.935737504614941,-1.50370444295915,0.587986312058061,0.417711090834539,"multi-watershed attr"
"05484000",0.721623894750587,1.29356886659961,0.922154706516997,0.688576332672104,0.507730034757486,0.490660890464949,"multi-watershed attr"
"05484500",1.18440591374215,3.1719602376074,0.934071202294669,-0.112111692697424,0.553475660139512,0.442148706283585,"multi-watershed attr"
"05515500",0.181312808713417,0.193527091144391,0.751642675794617,0.489312333798902,0.445803314368384,0.301071484451962,"multi-watershed attr"
"05517500",0.369720931294919,0.407634558168174,0.793085251217317,0.739801222015251,0.501358236462782,0.418016998700343,"multi-watershed attr"
"05518000",0.324971497184498,0.390428131085147,0.803088994104261,0.657993383530842,0.495632227846977,0.422972447283914,"multi-watershed attr"
"05524500",0.912946329306685,0.803589377127122,0.851106524749364,0.89299978048826,0.453209806915658,0.490386910601526,"multi-watershed attr"
"05537980",0.473574369305207,0.778352361040792,0.851163044973969,0.62394485439429,0.400964341716996,0.292389411070093,"multi-watershed attr"
"05595000",0.486259057222952,0.54354490270659,0.670255221543545,0.177980498708305,0.342254727462923,0.301316778419676,"multi-watershed attr"
"06481000",0.487206581040582,0.546786382852202,0.775855435758539,0.615817475569941,0.403859331690695,0.443129861791026,"multi-watershed attr"
"06808500",0.595857518934573,1.58996476596204,0.833860343850481,0.313671118905077,0.4134746281868,0.473946840840436,"multi-watershed attr"
"06817000",1.11715543474184,1.51880477366949,0.829422419133061,-0.341655888908226,0.421093166090521,0.323439444632523,"multi-watershed attr"
"01408500",0.0579052227453333,0.0712029773429359,0.902481642694044,0.888180911183819,0.517794588673696,0.493845690874476,"multi-watershed bfs attr"
"01463500",0.098106671143108,0.174263168668234,0.661813473940181,0.0715881625289368,0.289696077593896,0.335725702819875,"multi-watershed bfs attr"
"01646500",0.15107733754722,0.244731280135999,0.839816953941265,0.619412690219624,0.407501945785075,0.362321876455141,"multi-watershed bfs attr"
"03339000",0.778930922321228,1.44856399592806,0.902857299138267,0.716959806996596,0.513796689748114,0.389479842941589,"multi-watershed bfs attr"
"03346500",0.826101313614641,1.3960121476757,0.859078732525575,0.145987528914579,0.499935508743829,0.325131067214523,"multi-watershed bfs attr"
"04072150",0.38572573083468,0.75195379876441,0.937777028245144,0.543098468060552,0.564084208471424,0.396482497299563,"multi-watershed bfs attr"
"04081000",0.144458881508985,0.166215422958653,0.936200494030844,0.87837886616111,0.552051067156437,0.476065932599654,"multi-watershed bfs attr"
"05412500",0.831563074627104,2.74449630007057,0.911566143583278,-1.88081307025736,0.53980173529781,0.227996655112371,"multi-watershed bfs attr"
"05418400",0.563620220098914,1.24481216584037,0.94462127753769,0.710354216435077,0.555223928410311,0.410438216340141,"multi-watershed bfs attr"
"05446500",0.687113588286598,1.2689115449635,0.684650470133129,-4.21972144807363,0.29437335596358,0.18571916403871,"multi-watershed bfs attr"
"05447500",0.542960516778012,1.57309654504126,0.934809059651657,-0.69734256679384,0.572973436704046,0.381119247724412,"multi-watershed bfs attr"
"05455100",0.788072777393606,1.98669016191598,0.959301231457643,0.336071047626984,0.647679828351832,0.327893685576433,"multi-watershed bfs attr"
"05457000",0.889080548899358,1.53433547270103,0.84150889071831,0.32017333071917,0.437900066294443,0.396940869415249,"multi-watershed bfs attr"
"05465500",0.856811410393322,2.00098621371666,0.912177043754149,0.122679163344116,0.622717281178182,0.402103671595173,"multi-watershed bfs attr"
"05481000",1.73320737833495,3.86059896852185,0.947931909703594,0.43189468795083,0.57930216232664,0.570506974248789,"multi-watershed bfs attr"
"05482000",0.942727898382396,3.02494770351634,0.94718363883843,-0.157541531367861,0.572433987890189,0.357966954306272,"multi-watershed bfs attr"
"05482300",1.31403701340207,3.62959682106651,0.935517881072833,-1.09442087363355,0.554799815463817,0.25785812711911,"multi-watershed bfs attr"
"05482500",1.32071196703474,4.9208708208009,0.957226992281403,-0.974039712825717,0.616701894602208,0.383018519483645,"multi-watershed bfs attr"
"05484000",0.699165427449719,0.745027029200006,0.926924725841717,0.896696130293349,0.531673832229901,0.566029524048079,"multi-watershed bfs attr"
"05484500",1.0956835957519,2.21281111087009,0.943578537252017,0.458770288272897,0.576216940065866,0.449908899419785,"multi-watershed bfs attr"
"05515500",0.175789610346027,0.235003756508326,0.766543273569044,0.246954092168349,0.471281909652525,0.274417149676786,"multi-watershed bfs attr"
"05517500",0.361342599939688,0.403818833799038,0.802356871022632,0.744649691612312,0.529087986193118,0.39456867651069,"multi-watershed bfs attr"
"05518000",0.354407140024499,0.393825163554851,0.765801366732092,0.652015973579786,0.516285587192934,0.406678364463069,"multi-watershed bfs attr"
"05524500",0.752324396599506,0.929056578616337,0.898889675938521,0.856978743847254,0.504192809516872,0.4616749076855,"multi-watershed bfs attr"
"05537980",0.540466250005511,0.800254797592488,0.806147420381013,0.602483112677493,0.38159196995598,0.286408669988925,"multi-watershed bfs attr"
"05595000",0.429399567280211,0.488481129743539,0.742862326649988,0.336093595983353,0.346683680492332,0.289551580721923,"multi-watershed bfs attr"
"06481000",0.506847227114148,0.517037422325479,0.757419373589124,0.65648459531381,0.437352063856966,0.358586013365606,"multi-watershed bfs attr"
"06808500",0.515847938199372,1.21214819651427,0.875482075075174,0.601095723304989,0.478185734996765,0.465760506897188,"multi-watershed bfs attr"
"06817000",0.796104619754037,1.14198994943769,0.913376634389113,0.241489260190493,0.521940973319642,0.325927945543402,"multi-watershed bfs attr"
